cid,text,time,digg_count,reply_comment_total,user_id,user_nickname,user_unique_id,referer
7121240491988288283,lâu quá mới thấy a Toàn ăn bằng miệng,2022-07-17 07:30:23,9102,127,6625938655943294978,Gia Bảo,bao31_10,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121230961790010138,:)) ẩu rồi đó toàn,2022-07-17 06:53:17,8011,13,6876679968669189121,xuantrong,xuantronggg,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121232772936647451,Nhìn lâu giống Park see ro yi,2022-07-17 07:00:18,3734,57,7022776734878958619,Gút bai mai lớp,motdemsaye,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121231101334913819,MV tỉ đô,2022-07-17 06:53:52,2254,3,6976890446857831426,Kiên vui vẻ,kienvuive28,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121233348383310618,Khứa này nhiều conten thật 😂😂😂,2022-07-17 07:02:36,1352,24,7110155692086084610,Baodeptrai113,baodeptrais,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121678298770768667,EM CƯỜI LỘT BAO QUY ĐẦU RỒI ANH TOÀN ƠI😂😂,2022-07-18 11:49:15,42,5,7004779222736585730,𝘽𝙊 𝙈𝘼𝙔 𝙇𝘼 𝙇𝙐𝙁𝙁𝙔 -?,chaomen8,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122074750805902106,Zoom cái bánh thấy chùm lông nách=))))),2022-07-19 13:27:39,20,0,7068605843936560130,♡︎,zungg05,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121984076257657626,cho mix hỏi ngu tí Anh này có ngoài đời ko mn😂:),2022-07-19 07:35:52,7,1,6974338128577152002,𝓣𝓱à𝓷𝓱 𝓝𝓱â𝓷,nhan.417,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122414116547085082,em ăn dới,2022-07-20 11:24:32,6,0,6704105542984958978,Mèo hoang đẹp,meohoangdep,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121955564632359707,lông nách đó có bán hok anh,2022-07-19 05:45:08,3,0,6909447013294277634,ttv2076,thinman2076,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121725235295994650,Biết ngay khịa ai=)),2022-07-18 14:51:17,3,0,7012612699490255899,Lynn🙈,hhl0507,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7123226590934287130,@Ngathu48 mắc gì hỏi để a tao phải trl ntn,2022-07-22 15:57:22,2,1,95302344241790976,Nga Phương,agngnouhp,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122055166597301018,Cạo râu 🪒 a ơi 😂,2022-07-19 12:11:36,3,0,6879361171419759618,Đặng Duy Tân,dangduytan031018,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121711803449115419,Thôi tòn 😕,2022-07-18 13:59:13,3,0,7048856712057570306,Chị Admin Azota Đa Nhân Cách,admin.azota.danhancach,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7123510355921650459,Vãi. Anh tỉa lông nách à,2022-07-23 10:18:31,1,0,6663829608914616322,Nguyễn Ngọc Phát,nguyenngoc_phat,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121891488425837313,Anh giống diệp vấn quá,2022-07-19 01:37:57,1,0,6695507237420614658,Công,conghoang452,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121648163202646810,Đang ăn bánh bỗng thấy đẹp trai à,2022-07-18 13:33:48,1,0,7076803737684558850,Tòn Ve Chai :D,tonvechai5,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7127580436020331290,Mặt tấu hài vãi 😂😂😂,2022-08-03 09:32:32,1,0,6975031274088481794,💎,anhtuaasnk5nha,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7126471170400011035,mận xoài cóc ổi=),2022-07-31 09:47:56,1,0,6988376250943570946,cutii waa><,_h.lzinh8_2,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7127268523143234331,@_byenn nghệ hong pà,2022-08-02 13:22:07,1,0,6946939225569182722,tvann,_thuvan12_,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121735133606363931,cái trend gì nữa đây:)),2022-07-18 15:29:44,1,0,6839274508366005249,bán thuốc hồi chinh,nhug_ko_me_gai,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122357119709889307,:)) ẩu rồi đó ba😂😂,2022-07-20 07:43:23,1,0,6583525778658131970,Toaz,minh_toan70,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121702817542734619,"Tòn ơi là Tòn, có thôi đi ko Tòn",2022-07-18 13:24:19,1,0,6937222432814466050,bơ nè🥑,dien_ne123,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7123945575927038747,A toàn hơi mệt rồi đấy😂,2022-07-24 14:27:26,1,0,7073393524624688155,P2M _(๑˃̵ᴗ˂̵),kopeoi19,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121780442822427419,@thbinhh0211 hong ngờ Tòn cũng bik ăn bằng nĩa,2022-07-18 18:25:45,1,0,6731727413753005058,𝙼𝙷 😺,mihiukoiuai,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7123620661502755610,Ủa là sao? Ủa gì dạ?,2022-07-23 17:26:36,1,0,6726321170267948034,Lưu Thị Như,nhucuteeevl,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7123451915929371419,@trinhthaoo bánh mua ở đâu v tòn,2022-07-23 06:31:45,1,1,6567190453777858562,Thach rau cau Phuong Thao😧,jae12605,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122132389007360794,@zyyaaaaa hát tác đắc mim mới chịu nha má,2022-07-19 17:11:30,1,0,6722844501108589570,Cờ Lâu Ì,c_h_l__o_e_,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121960108368839451,@nlbt_71 quín gũ,2022-07-19 06:02:48,1,0,6922602665642804226,Lê Hoàng Bảo Quyên,baoquyen_507,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121730238282892058,Sơn Tùng à,2022-07-18 15:10:42,1,0,6814803072138429441,kienkien,sept.06_,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121874641702912770,ẩu :)),2022-07-19 00:33:53,1,0,7007644163735077889,Trang,tranq.2102,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121744080019424026,Chiu 😂,2022-07-18 16:04:29,1,0,7056358493133882369,Hiếu Đặng 💔,danghuyhieu07,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121740735900861211,@P H U O N G 😂😂 lạy toàn,2022-07-18 15:51:31,1,0,6827440894691509250,Trần Thúy Nga,tranthuynga24,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121696326807896859,@thuhuong_246 BXT của m nè,2022-07-18 12:59:11,1,1,6710221387679138818,Dothi Cucphuong,dt.cp2,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121926143658656538,giống ông nào review đồ ăn,2022-07-19 03:51:05,1,0,6663395770598178817,Quỳnh,xizukaka,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121904024035541787,@minhlaquin.05 😞 quýn rũ thật chứ,2022-07-19 02:25:16,1,0,6957675634265867266,p,trphuongwpi,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122624321415611163,@nguyenthingochieuu coi này này :),2022-07-21 01:00:30,1,0,6523083782952845314,Minh Tân,vt.mint,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121920517309563674,nhạc buồn cười vậy,2022-07-19 03:29:12,1,0,7083592055684318209,nàng 🐑,wheat.flour,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121804066573075227,Quyến rũ ghê 😂,2022-07-18 19:57:52,1,0,6822083586238284801,Quốc Trung,troungtrung.26,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121962457514132251,@Khanh bận mê Rui ám hoài tr =)))))),2022-07-19 06:11:54,1,0,6596919732145684481,🫧,yyuyouu,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122274835905184538,A phúc hậu quá💐🌹🌷🌼🌺⚘🌸🌻,2022-07-20 02:24:13,0,0,7017290796353274881,Chii Ling,luynhchau,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122205916879536922,có thôi ngay đi k Toàn,2022-07-19 21:57:50,0,0,6938645093848450050,Lưu Văn Ngọc,reiju97,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122050443048289025,@Nguyên Mikenco thà rằng người đừng níu kéo,2022-07-19 11:54:05,0,0,7053625312017712129,con mèo tri thức👍,dyp9eo463xlv,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121905793382187802,"Hay thôi a đừng gỡ niềng, để vậy cho nó tạo dấu ấn riêng!",2022-07-19 02:32:14,0,0,6608502034789679106,j a n e  g r a c e 🪸,janegracele,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121903859015140123,Anh Tòn ẩu òi nha! 😅,2022-07-19 02:24:42,0,0,7009421776037233690,ĐƯỜNG,qumidu,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121724295223788314,"Nhìn nghiêng, nhìn xéo thì a Tòn đẹp zai í 😁😁",2022-07-18 14:47:42,0,0,6634755710977818625,Mouse,thuthumiss,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7131723432395555610,ê tối ngủ t mơ thấy ông này luôn má,2022-08-14 13:29:24,0,0,7104614102329197570,Tik Toker,uaaiquantam,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7130111899128398635,Thôi đi đủ rồi đó Tòn!!!!!!!,2022-08-10 05:16:06,0,0,7015803295730091034,Nấm lùn vẫn vui vẻ😸👍,namcaooccho0,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7129927321524486938,đang ăn lông nách hả anhh😂,2022-08-09 17:19:49,0,0,7060475625388377114,userdi7ngrkxkp,userdi7ngrkxkp,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122117018052854554,Nhìn ông ăn mà tui cũg liếm răng theo ông :)),2022-07-19 16:11:42,0,0,6742774048683901953,Lê Khánh Uyên,nta11202,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122061573413274394,ua? Rồi đang đẹp trai ó ha?,2022-07-19 12:36:27,0,0,6529419819077517313,Mẹ Sam - Bình Dương,kiman1096,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122000097286538011,@danniil3000 nữa:)),2022-07-19 08:38:00,0,4,6970548632122606593,𝐍𝐂𝐊30 ⚽️💫,khecules,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121782587970011930,toàn khuyên toàn nên nhộm tóc đi,2022-07-18 18:34:08,0,0,6674596548443276289,Phạm Ngọc Hữu Toàn,toanpham0507,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121737917982688026,Lông nách quyến rũ quá😅,2022-07-18 15:40:35,0,0,6706835268538401794,lavie,uuu.4228_4,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121716846252622618,Hảo😂,2022-07-18 14:18:47,0,0,7023749190635701250,TRILB,trilbxplaytogethrer,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121709571794649902,toàn này nó lạ lắm,2022-07-18 13:50:57,0,0,7103072642706162730,G.T.A V.C,anhtong1240,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121703175715881755,thầy Thuận @nhbh210,2022-07-18 13:25:45,0,1,6558321023974948866,hngb,n_bao_1701,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7129717301080097562,ăn rồi báo không à,2022-08-09 03:44:46,0,0,7128378708436435994,hoàng báo thủ,hhhhhoang28,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7128938592994493210,bài này hay ạ =)),2022-08-07 01:22:53,0,0,6859587291879998466,myhusisgiyuu,y.nhie1,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122320079145173787,Cha tòn,2022-07-20 05:19:45,0,0,6695911037965075458,Phùng Khánh,phungkhanh08,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122141064945042203,m có thôi k tòn . t xin mày,2022-07-19 17:45:08,0,0,6917960282796229634,thỏ hay hát,phong_hay_duet,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122065295149400859,A Tòn Ít hơn cả chị Thụy =))),2022-07-19 12:50:54,0,0,6519440539858862081,Khi nào lên tàu đổi tên ❤️🍀,nhv146,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121940295089292058,chậm thôi ăn toàn ơi 😂😂,2022-07-19 04:46:00,0,0,6733151821214532609,Trần Thiên Bảo,ttb_030807,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121918716620030746,Tự nhiên thấy Toàn đẹp trai …,2022-07-19 03:22:17,0,0,6898311694055113730,Ryan Brian,ryannbrian.25,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121779698611487514,tự nhiên sao tóc dài v anh,2022-07-18 18:23:04,0,0,6584184703711936514,Do Truong Toan,gudboiiz,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121736928122864410,anh này phải Wean Le không vậy??,2022-07-18 15:36:43,0,0,6849014685188457473,Swooshhhhh,zoneplaguesicko,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121721550944338715,anh Tòn cũng ăn như người thường à.,2022-07-18 14:37:02,0,0,6577632461937164289,Prakie Langtu :)),praykienofun,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121697010646975258,Hướng dẫn ăn bánh bằng miệng hã anh,2022-07-18 13:01:50,0,0,6568798945920237569,Dương Trần,trantrungduong8,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7129772403535037210,Giếc tao mệt gòi nha tòn,2022-08-09 07:18:32,0,0,6675579639903470594,Trúc Phạm,trucbb,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122488232256766722,rồi tòn ăn j,2022-07-20 16:13:12,0,0,7115792884729431067,nd,3thg4.2011,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122427216693084954,anh Toàn này có thật k mn,2022-07-20 12:15:25,0,0,7120572774595740699,userkm3qzhghpy,userkm3qzhghpy,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122413811278054171,Em lạy a 🤣🤣🤣,2022-07-20 11:23:25,0,0,65633821888,Võ Ngọc Thiên Di,iamtycd,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122356181892383514,seo,2022-07-20 07:39:43,0,0,6853997715811795970,Phạm Hiền Lương,hienluonghihi2710,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122121518154875675,"ăn mà cũng biết đẹp zai nữa, tốn gái lắm đây",2022-07-19 16:29:11,0,0,6862517352371602433,Rùa sắp làm vua hải tặk 🐢,2506.tt,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122103761006363419,xem khứa này cười mệt quãi đạn🤣 có lúc không cười,2022-07-19 15:20:11,0,0,7120780238619542530,jub jub,vnwdt,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122099416673321754,pha này hơi nghiễn,2022-07-19 15:03:24,0,0,6890087067695498241,I NO NAME,alanhemcuadangla,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7122076235790844698,Nét diễn tài tử đây mà,2022-07-19 13:33:23,0,0,7121888616582480923,2 cu géi bị tổ tóp tóp bỏ rơi,thaobinh2002,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121973720138416923,Thôi đi Tòn,2022-07-19 06:55:34,0,0,6960473503532303361,PETER MÌ TÔM,manucians909,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121957767497417498,nay đẹp chai z cha,2022-07-19 05:53:39,0,0,6980597657007277083,ㅤ,xinhgai_0par,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121928545886389034,Đz qua:)),2022-07-19 04:00:17,0,0,6990162063164277765,KhangDoanDuy,doanduykhang13,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121894750551327515,@@ng.lyy cũng ăn bằng miệng đồ nè bà😁,2022-07-19 01:49:21,0,0,6646967887930572801,Thiên Thuý,thienthuy2709,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121759084639453978,Gòy mục đích là gì? Nay thiếu thần đá nên Tòn ko có ai hộ thân Tòn im lặng,2022-07-18 17:02:53,0,0,6765028681796174850,Sam Sam,samsam1262,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121740752888120090,Tự nhiên thấy nhột vậy ta😅,2022-07-18 15:51:37,0,0,6986253725825532955,Yan and me,yanandme,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121726386783503131,"Nếu bạn không ngại, người ngại sẽ là người xem",2022-07-18 14:55:46,0,0,6741315933656597505,Hoài Uyên không vui,oigioituongdulao,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121722654675403547,Asssir Quý tộc quá Tòn,2022-07-18 14:41:18,0,0,7119807114671293467,Cương tập chơi tóp tóp,aucuong19,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
7121722256435315482,Tòn mở kênh rì viu đồ ăn r à =)),2022-07-18 14:39:48,0,0,6932816179481592834,onii-chan,viethoanganhwibu,https://www.tiktok.com/@toanchodien23/video/7121230509027478810
