cid,text,time,digg_count,reply_comment_total,user_id,user_nickname,user_unique_id,referer
7135706856186872602,khớp thì vẫn mòn mà a,2022-08-25 07:07:17,21,11,6854993900370150402,concaocao,pl4yz0n3,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135670325429158682,Có màu trắng ko ạ,2022-08-25 04:45:22,4,3,7099765229395919873,Không Tên,khongten_535,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135669054211293978,Gian nhà ngày xưa dùng kiểu khớp như này đúng ko nhỉ,2022-08-25 04:40:29,2,1,6863452083518161921,NorthSide,babylearnmath12,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135668433228628737,lâu quá mới thấy lên vidoe lạiii,2022-08-25 04:39:37,2,0,6946053496815780865,bunnie._.bunnie,bunnie._.bunnie,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135686046478779163,cái ghế vòm hôm bữa đâu rồi anh?,2022-08-25 05:46:31,1,1,7073487819280909313,Chuyên,c.hyue,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135679261713711898,đắt lắm pko a😳,2022-08-25 05:20:09,1,2,6966440665963234305,aooabizoskzbh,bcjauyzz,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135732379222131482,Anh làm nghề gì vậy?,2022-08-25 08:46:15,1,3,7011444899011150849,Xuân Đạt.,xuanddat06,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135762352515728154,1 năm rồi á😳,2022-08-25 10:42:33,1,3,6688486586902594562,Minh Hằng,penguin_1212,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135665128728527643,bàn lắp ghép đẹp ở đâu?! tiện ở đâu?! bền ở địa chỉ mua ở đâu. 🥲,2022-08-25 04:25:15,1,0,7012532111299216385,Tsukiko và Tsukinoko,outlet_colors,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135784783606514459,Rùi bán chưaaaa. Tụi đợi hơi lau,2022-08-25 12:09:31,1,1,6618022162350850050,Bác Sĩ Thú Y nhưng vẫn sợ chó,zen160895,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135798287679931138,"khớp mà ko vít thì mới lỏng lẻo, chưa kể cái bàn kia làm bằng gỗ dán nữa, bàn lắp vít m phải tháo cả chục lần may ra nó mới lỏng lẻo",2022-08-25 13:02:32,1,0,6530924841464758274,Tuyến Vũ,tuyenvu26593,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135676036751295258,Anh ơi. Anh để link mua đi ạ. Em tìm không thấy,2022-08-25 05:07:41,1,0,6804370819733652482,Trần Thị Thu Thảo (Min),dau.banh.beo,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135669055289262849,hay nè,2022-08-25 04:41:43,0,0,7112488323071935489,Xem kênh tui hay lắm 👍,xemcungtui,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135672166246712091,Mua như nào ạ,2022-08-25 04:52:38,0,0,6987186058274866203,ta20320032,ta20320032,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7138455589046829825,giá sao vậy ông ơi,2022-09-01 16:54:29,0,0,6918671872440517633,lamhoang420,lamhoang.420,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7138347627205559042,muốn mua mà sv như mình k mua nổi :(,2022-09-01 09:55:50,0,0,6790272275343787010,Đỗ Thanh Huyền,dothanhhuyen_17b2,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7138262317829702402,"t thì lại thấy thiếu chắc chắn cỡ nào bàn cũng rung lắc khi bàn chỉ bằng gỗ ghép , và đương nhiên tiền nào của đó thôi riêng tôi sẽ k chọn bàn như này",2022-09-01 04:25:04,0,0,6561387950679146498,Win Lee 📷,winlk01,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7137895790803387162,Mua ởvđâu thì ko nói ib cái nào,2022-08-31 04:41:28,0,0,6820412657490478082,PHUCLOCANKHANG,phuclocankhang,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7137862014999135003,Sao không thấy trên bio nhỉ a ơi,2022-08-31 02:30:20,0,0,6579383822842904578,Tình yêu là gì ????,conma2002,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135703082789536539,tìm ko thấy link mua a ơi 😳,2022-08-25 06:52:37,0,0,6910578048988185601,TuanKiet,tobidramasenju,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135678369941865242,cho e xin giá với ạ,2022-08-25 05:16:43,0,0,6567705999095496706,Yến Tutj,yentutj_,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135710740693992218,mua ở đâu anh ơi,2022-08-25 07:22:14,0,0,6967364773093327874,trường đang đi chơi,minhtruong1425,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135711639102341914,làm mộng mất thời gian hơn bắn,2022-08-25 07:25:50,0,1,6989431499561976833,thinhtcqtkd,thinhtcqtkd,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135685648493331226,mua như nào vậy b,2022-08-25 05:44:54,0,0,6796853348932338689,quỷ quỷ,qmp826,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135795077570462490,Xin link mua anh ơi,2022-08-25 12:49:31,0,0,6520577667494166530,Minh Nguyệt,nguytxiu,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135903238377128731,Link mua bàn đâu 🤔,2022-08-25 19:49:52,0,0,7039959365876466689,cheese.cuon,cheese.cuon,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
7135806922288071451,giá ntn vậy bạn,2022-08-25 13:35:26,0,0,6540561685396340737,Quyen Tran,phukiensinhnhat_hcm,https://www.tiktok.com/@daoyeumoc/video/7135664239720598811?is_from_webapp=v1&item_id=7135664239720598811
